Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.01, 'lr': 0.01, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'tv': 1.0, 'exp_no': '1642699129'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.1, 'lr': 0.01, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'tv': 1.0, 'exp_no': '1642699129'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.01, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'tv': 1.0, 'exp_no': '1642699129'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.01, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'tv': 1.0, 'exp_no': '1642699129'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	-0.01	-0.01(-0.01)	0.0(341)
0	0.01	-0.01(-0.01)	0.02(341)
0	0.16	-0.01(-0.01)	0.17(341)
0	1.69	-0.01(-0.01)	1.7(341)
10	0.0	-0.02(-0.02)	0.02(403)
10	-0.01	-0.02(-0.02)	0.0(409)
10	0.16	-0.01(-0.01)	0.18(351)
10	1.44	-0.01(-0.01)	1.45(290)
20	-0.02	-0.04(-0.04)	0.02(414)
20	0.11	-0.04(-0.04)	0.15(307)
20	-0.04	-0.04(-0.04)	0.0(427)
20	0.96	-0.02(-0.02)	0.98(196)
30	-0.01	-0.03(-0.03)	0.02(404)
30	0.09	-0.03(-0.03)	0.13(251)
30	-0.03	-0.03(-0.03)	0.0(422)
30	0.51	-0.01(-0.01)	0.52(104)
40	-0.02	-0.04(-0.04)	0.02(390)
40	0.06	-0.04(-0.04)	0.1(202)
40	-0.04	-0.04(-0.04)	0.0(413)
40	0.17	-0.01(-0.01)	0.18(35.8)
50	0.04	-0.03(-0.03)	0.07(143)
50	-0.02	-0.03(-0.03)	0.02(347)
50	-0.03	-0.03(-0.03)	0.0(372)
50	0.04	0.01(0.01)	0.03(6.8)
60	0.01	-0.05(-0.05)	0.06(112)
60	-0.03	-0.05(-0.05)	0.02(345)
60	-0.04	-0.05(-0.05)	0.0(376)
60	0.01	-0.01(-0.01)	0.02(4.72)
70	0.0	-0.05(-0.05)	0.06(111)
70	-0.03	-0.05(-0.05)	0.02(407)
70	-0.05	-0.05(-0.05)	0.0(450)
70	0.02	-0.02(-0.02)	0.03(6.92)
80	-0.01	-0.04(-0.04)	0.03(67.8)
80	-0.04	-0.06(-0.06)	0.02(307)
80	-0.05	-0.05(-0.05)	0.0(346)
80	0.02	-0.01(-0.01)	0.02(4.47)
90	-0.03	-0.07(-0.07)	0.04(81.2)
90	-0.06	-0.08(-0.08)	0.02(379)
90	-0.08	-0.08(-0.08)	0.0(432)
90	0.02	-0.0(-0.0)	0.02(4.72)
100	-0.04	-0.07(-0.07)	0.03(63.2)
100	-0.06	-0.08(-0.08)	0.02(321)
100	-0.07	-0.07(-0.07)	0.0(371)
100	0.01	-0.01(-0.01)	0.02(4.24)
110	-0.02	-0.06(-0.06)	0.03(67.2)
110	-0.04	-0.06(-0.06)	0.02(328)
110	-0.06	-0.06(-0.06)	0.0(383)
110	0.01	-0.01(-0.01)	0.02(3.3)
120	0.01	-0.03(-0.03)	0.04(80.3)
120	-0.03	-0.04(-0.04)	0.02(389)
120	-0.04	-0.04(-0.04)	0.0(461)
120	0.03	0.0(0.0)	0.02(4.53)
