Trying to load config file configs/cj_std.toml but it doesnt exist
{'toml': 'configs/cj_std.toml', 'experiment': None, 'layer': 0, 'feature': 1, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470808'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	153	-0.0(-0.0)	153(306948)
Trying to load config file configs/cj_std.toml but it doesnt exist
{'toml': 'configs/cj_std.toml', 'experiment': None, 'layer': 0, 'feature': 1, 'target': 0, 'seed': 6247423, 'grid': 0.1, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470808'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/cj_std.toml but it doesnt exist
{'toml': 'configs/cj_std.toml', 'experiment': None, 'layer': 0, 'feature': 1, 'target': 0, 'seed': 6247423, 'grid': 0.01, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470808'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/cj_std.toml but it doesnt exist
{'toml': 'configs/cj_std.toml', 'experiment': None, 'layer': 0, 'feature': 1, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470808'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.31	-0.0(-0.0)	0.31(628)
0	0.31	-0.0(-0.0)	0.31(626)
0	0.37	-0.0(-0.0)	0.37(738)
10	612	0.0(0.0)	612(1223573)
10	0.21	-0.0(-0.0)	0.21(429)
10	0.21	-0.0(-0.0)	0.21(420)
10	0.31	-0.0(-0.0)	0.31(622)
20	125	-0.0(-0.0)	125(249936)
20	0.22	0.0(0.0)	0.22(431)
20	0.22	0.0(0.0)	0.22(434)
20	0.25	0.0(0.0)	0.24(486)
30	201	-0.0(-0.0)	201(402127)
30	0.24	0.03(0.03)	0.22(433)
30	0.25	0.03(0.03)	0.22(434)
30	0.27	0.02(0.02)	0.25(505)
40	455	-0.0(-0.0)	455(910183)
40	0.2	-0.01(-0.01)	0.21(416)
40	0.19	-0.01(-0.01)	0.21(410)
40	0.26	-0.02(-0.02)	0.27(543)
50	0.21	-0.0(-0.0)	0.22(436)
50	1141	-0.0(-0.0)	1141(2282708)
50	0.21	-0.0(-0.0)	0.21(426)
50	0.33	-0.0(-0.0)	0.33(657)
60	0.21	0.0(0.0)	0.21(423)
60	244	-0.0(-0.0)	244(487157)
60	0.21	0.0(0.0)	0.21(418)
60	0.28	-0.0(-0.0)	0.28(553)
70	0.16	-0.05(-0.05)	0.21(427)
70	259	0.0(0.0)	259(517876)
70	0.16	-0.05(-0.05)	0.22(433)
70	0.18	-0.05(-0.05)	0.23(461)
80	0.21	-0.0(-0.0)	0.21(420)
80	768	-0.0(-0.0)	768(1536626)
80	0.2	-0.0(-0.0)	0.21(410)
80	0.3	0.0(0.0)	0.3(599)
90	0.25	0.05(0.05)	0.2(401)
90	415	-0.0(-0.0)	415(830936)
90	0.25	0.05(0.05)	0.2(399)
90	0.28	0.05(0.05)	0.23(462)
100	0.2	-0.0(-0.0)	0.2(399)
100	188	0.0(0.0)	188(376662)
100	0.2	-0.0(-0.0)	0.2(394)
100	0.25	-0.0(-0.0)	0.26(513)
110	0.12	-0.06(-0.06)	0.19(373)
110	104	-0.0(-0.0)	104(208795)
110	0.13	-0.06(-0.06)	0.19(376)
110	0.14	-0.06(-0.06)	0.2(396)
120	0.13	-0.05(-0.05)	0.19(374)
120	928	-0.0(-0.0)	928(1856007)
120	0.13	-0.05(-0.05)	0.18(367)
120	0.19	-0.06(-0.06)	0.25(509)
130	0.2	0.01(0.01)	0.19(379)
130	326	-0.0(-0.0)	326(651730)
130	0.2	0.01(0.01)	0.19(377)
130	0.25	0.02(0.02)	0.23(465)
140	0.19	0.0(0.0)	0.19(378)
140	0.19	0.0(0.0)	0.19(374)
140	330	-0.0(-0.0)	330(660020)
140	0.24	0.01(0.01)	0.24(476)
150	0.15	-0.02(-0.02)	0.17(339)
150	381	-0.0(-0.0)	381(762508)
150	0.15	-0.02(-0.02)	0.17(338)
150	0.19	-0.02(-0.02)	0.21(417)
160	0.21	0.03(0.03)	0.18(355)
160	272	0.0(0.0)	272(544703)
160	0.21	0.03(0.03)	0.18(357)
160	0.21	0.03(0.03)	0.18(367)
170	0.21	0.04(0.04)	0.17(338)
170	384	0.0(0.0)	384(768100)
170	0.21	0.04(0.04)	0.17(337)
170	0.23	0.03(0.03)	0.19(390)
180	0.12	-0.04(-0.04)	0.15(310)
180	72.4	-0.0(-0.0)	72.4(144746)
180	0.12	-0.04(-0.04)	0.16(313)
180	0.14	-0.03(-0.03)	0.17(336)
190	0.16	0.01(0.01)	0.16(312)
190	527	-0.0(-0.0)	527(1053557)
190	0.16	0.01(0.01)	0.16(311)
190	0.18	-0.0(-0.0)	0.19(375)
200	0.09	-0.06(-0.06)	0.15(303)
200	589	-0.0(-0.0)	589(1178601)
200	0.09	-0.06(-0.06)	0.15(298)
200	0.16	-0.05(-0.05)	0.2(403)
210	0.16	0.02(0.02)	0.14(289)
210	440	-0.01(-0.01)	440(880489)
210	0.16	0.02(0.02)	0.14(282)
210	0.2	0.01(0.01)	0.19(389)
220	0.1	-0.05(-0.05)	0.15(304)
220	1366	-0.0(-0.0)	1366(2731658)
220	0.1	-0.05(-0.05)	0.15(296)
220	0.17	-0.05(-0.05)	0.22(444)
230	0.09	-0.03(-0.03)	0.12(241)
230	243	0.0(0.0)	243(486064)
