Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 3, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.01, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1640809418'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 3, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.01, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1640809418'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	3.78	0.01(0.01)	3.78(755)
0	0.38	0.01(0.01)	0.38(755)
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 3, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.1, 'lr': 0.01, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1640809418'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.04	0.01(0.01)	0.04(755)
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 3, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.01, 'lr': 0.01, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1640809418'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.01	0.01(0.01)	0.0(755)
10	0.01	-0.02(-0.02)	0.03(586)
10	2.16	-0.01(-0.01)	2.16(433)
10	0.23	-0.01(-0.01)	0.24(483)
10	-0.01	-0.02(-0.02)	0.0(602)
20	0.02	-0.02(-0.02)	0.04(832)
20	2.1	-0.0(-0.0)	2.1(420)
20	-0.01	-0.02(-0.02)	0.0(875)
20	0.26	-0.02(-0.02)	0.27(549)
30	0.01	-0.02(-0.02)	0.03(666)
30	0.95	-0.01(-0.01)	0.96(193)
30	-0.02	-0.02(-0.02)	0.0(719)
30	0.14	-0.02(-0.02)	0.16(330)
40	0.01	-0.03(-0.03)	0.03(693)
40	-0.02	-0.03(-0.03)	0.0(770)
40	0.32	-0.01(-0.01)	0.33(65.9)
40	0.09	-0.03(-0.03)	0.11(226)
50	-0.01	-0.05(-0.05)	0.03(650)
50	-0.04	-0.04(-0.04)	0.0(745)
50	0.05	-0.01(-0.01)	0.06(12.7)
50	0.02	-0.04(-0.04)	0.06(119)
60	0.02	-0.01(-0.01)	0.03(612)
60	-0.01	-0.01(-0.01)	0.0(722)
60	0.04	-0.0(-0.0)	0.04(7.65)
60	0.03	-0.01(-0.01)	0.04(71.3)
70	0.0	-0.03(-0.03)	0.03(541)
70	-0.02	-0.02(-0.02)	0.0(656)
70	0.02	-0.01(-0.01)	0.03(6.07)
70	0.0	-0.02(-0.02)	0.03(50.2)
80	-0.01	-0.04(-0.04)	0.03(537)
80	-0.04	-0.04(-0.04)	0.0(670)
80	0.02	-0.01(-0.01)	0.03(5.89)
80	-0.01	-0.03(-0.03)	0.02(46.4)
90	-0.02	-0.02(-0.02)	0.0(615)
90	0.0	-0.02(-0.02)	0.02(479)
90	0.01	-0.01(-0.01)	0.02(40.1)
90	0.05	0.01(0.01)	0.04(8.52)
100	-0.05	-0.05(-0.05)	0.0(591)
100	-0.03	-0.06(-0.06)	0.02(443)
100	-0.02	-0.04(-0.04)	0.02(37.9)
100	0.01	-0.02(-0.02)	0.04(7.27)
110	-0.05	-0.05(-0.05)	0.0(639)
110	-0.03	-0.06(-0.06)	0.02(464)
110	-0.04	-0.06(-0.06)	0.02(44.5)
110	0.0	-0.02(-0.02)	0.02(4.71)
120	-0.03	-0.03(-0.03)	0.0(821)
120	-0.0	-0.03(-0.03)	0.03(577)
120	-0.0	-0.03(-0.03)	0.03(59.7)
120	0.03	-0.0(-0.0)	0.03(5.74)
130	-0.07	-0.07(-0.07)	0.0(640)
130	-0.05	-0.07(-0.07)	0.02(435)
130	-0.05	-0.07(-0.07)	0.03(50.4)
130	-0.01	-0.03(-0.03)	0.02(4.46)
140	-0.06	-0.07(-0.07)	0.0(638)
140	-0.05	-0.07(-0.07)	0.02(420)
140	-0.03	-0.06(-0.06)	0.03(56.7)
140	0.01	-0.02(-0.02)	0.03(5.08)
150	-0.04	-0.04(-0.04)	0.0(670)
150	-0.02	-0.04(-0.04)	0.02(429)
150	-0.01	-0.04(-0.04)	0.03(60.0)
150	0.02	-0.01(-0.01)	0.03(5.51)
160	-0.03	-0.04(-0.04)	0.0(641)
160	-0.02	-0.04(-0.04)	0.02(397)
160	-0.0	-0.03(-0.03)	0.03(52.4)
160	0.01	-0.02(-0.02)	0.03(5.17)
170	-0.05	-0.06(-0.06)	0.0(507)
170	-0.04	-0.06(-0.06)	0.02(304)
170	-0.03	-0.05(-0.05)	0.02(40.3)
170	0.01	-0.01(-0.01)	0.02(4.01)
180	-0.05	-0.05(-0.05)	0.0(651)
180	-0.04	-0.06(-0.06)	0.02(376)
180	-0.02	-0.04(-0.04)	0.03(53.5)
180	0.01	-0.01(-0.01)	0.02(3.83)
190	-0.05	-0.07(-0.07)	0.02(320)
190	-0.06	-0.06(-0.06)	0.0(566)
190	-0.02	-0.05(-0.05)	0.02(47.0)
190	0.0	-0.02(-0.02)	0.02(3.42)
200	-0.05	-0.07(-0.07)	0.02(362)
200	-0.06	-0.07(-0.07)	0.0(660)
200	-0.04	-0.07(-0.07)	0.03(57.5)
200	0.01	-0.02(-0.02)	0.02(4.23)
210	-0.08	-0.09(-0.09)	0.01(245)
210	-0.08	-0.08(-0.08)	0.0(456)
210	-0.06	-0.08(-0.08)	0.02(41.9)
210	-0.02	-0.03(-0.03)	0.01(2.31)
220	-0.06	-0.07(-0.07)	0.02(326)
220	-0.07	-0.07(-0.07)	0.0(622)
220	-0.04	-0.07(-0.07)	0.03(56.3)
220	-0.0	-0.02(-0.02)	0.02(3.13)
230	-0.02	-0.04(-0.04)	0.02(371)
230	-0.04	-0.04(-0.04)	0.0(716)
230	-0.01	-0.04(-0.04)	0.03(63.6)
230	0.01	-0.01(-0.01)	0.02(3.72)
240	-0.07	-0.09(-0.09)	0.01(245)
240	-0.08	-0.08(-0.08)	0.0(485)
240	-0.05	-0.07(-0.07)	0.02(42.1)
240	-0.01	-0.02(-0.02)	0.01(1.92)
250	-0.05	-0.07(-0.07)	0.02(308)
250	-0.06	-0.06(-0.06)	0.0(623)
250	-0.03	-0.06(-0.06)	0.03(57.5)
250	-0.01	-0.02(-0.02)	0.01(2.35)
260	-0.03	-0.05(-0.05)	0.02(325)
260	-0.04	-0.05(-0.05)	0.0(664)
260	-0.01	-0.04(-0.04)	0.03(58.5)
260	0.01	0.0(0.0)	0.01(2.31)
270	-0.07	-0.08(-0.08)	0.01(288)
270	-0.07	-0.08(-0.08)	0.0(597)
270	-0.07	-0.09(-0.09)	0.03(54.3)
270	-0.02	-0.03(-0.03)	0.01(1.8)
280	-0.04	-0.06(-0.06)	0.02(315)
280	-0.05	-0.06(-0.06)	0.0(663)
280	-0.01	-0.04(-0.04)	0.03(59.2)
280	-0.0	-0.01(-0.01)	0.01(1.9)
290	-0.06	-0.07(-0.07)	0.01(274)
290	-0.07	-0.07(-0.07)	0.0(588)
290	-0.05	-0.07(-0.07)	0.02(49.1)
290	-0.02	-0.03(-0.03)	0.01(1.51)
300	-0.06	-0.08(-0.08)	0.02(319)
300	-0.07	-0.07(-0.07)	0.0(686)
300	-0.05	-0.08(-0.08)	0.03(57.0)
300	-0.02	-0.02(-0.02)	0.01(1.61)
310	-0.07	-0.08(-0.08)	0.01(207)
310	-0.08	-0.08(-0.08)	0.0(451)
310	-0.05	-0.07(-0.07)	0.02(36.4)
310	-0.02	-0.02(-0.02)	0.0(0.86)
320	-0.09	-0.1(-0.1)	0.01(260)
320	-0.1	-0.1(-0.1)	0.0(568)
320	-0.07	-0.1(-0.1)	0.02(45.0)
320	-0.03	-0.04(-0.04)	0.01(1.04)
330	-0.05	-0.06(-0.06)	0.01(279)
330	-0.06	-0.06(-0.06)	0.0(603)
330	-0.03	-0.06(-0.06)	0.02(48.7)
330	-0.01	-0.01(-0.01)	0.0(0.97)
340	-0.06	-0.07(-0.07)	0.01(272)
340	-0.06	-0.06(-0.06)	0.0(599)
340	-0.04	-0.06(-0.06)	0.02(47.7)
340	-0.01	-0.01(-0.01)	0.0(0.96)
350	-0.08	-0.1(-0.1)	0.01(253)
350	-0.09	-0.09(-0.09)	0.0(561)
350	-0.07	-0.09(-0.09)	0.02(45.4)
350	-0.02	-0.03(-0.03)	0.0(0.9)
360	-0.07	-0.09(-0.09)	0.01(292)
360	-0.08	-0.08(-0.08)	0.0(643)
360	-0.07	-0.09(-0.09)	0.03(50.2)
370	-0.07	-0.08(-0.08)	0.01(272)
360	-0.03	-0.03(-0.03)	0.0(0.93)
370	-0.07	-0.08(-0.08)	0.0(598)
370	-0.05	-0.08(-0.08)	0.02(49.3)
380	-0.1	-0.11(-0.11)	0.01(209)
370	-0.02	-0.02(-0.02)	0.0(0.9)
380	-0.11	-0.11(-0.11)	0.0(468)
380	-0.08	-0.1(-0.1)	0.02(36.8)
390	-0.07	-0.09(-0.09)	0.02(328)
380	-0.02	-0.02(-0.02)	0.0(0.7)
390	-0.08	-0.08(-0.08)	0.0(725)
390	-0.08	-0.11(-0.11)	0.03(59.8)
400	-0.04	-0.05(-0.05)	0.01(243)
390	-0.02	-0.03(-0.03)	0.01(1.11)
400	-0.05	-0.05(-0.05)	0.0(534)
400	-0.01	-0.04(-0.04)	0.02(44.2)
400	-0.01	-0.01(-0.01)	0.0(0.79)
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 3, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.1, 'lr': 0.03, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1640809429'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.04	0.01(0.01)	0.04(755)
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 3, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.03, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1640809429'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 3, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.03, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1640809429'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 3, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.01, 'lr': 0.03, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1640809429'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.38	0.01(0.01)	0.38(755)
0	3.78	0.01(0.01)	3.78(755)
0	0.01	0.01(0.01)	0.0(755)
10	-0.0	-0.03(-0.03)	0.03(546)
10	0.1	-0.03(-0.03)	0.13(262)
10	-0.03	-0.03(-0.03)	0.0(590)
10	0.74	-0.01(-0.01)	0.75(149)
20	0.01	-0.03(-0.03)	0.04(716)
20	0.02	-0.03(-0.03)	0.05(99.6)
20	0.15	-0.01(-0.01)	0.16(31.6)
20	-0.02	-0.03(-0.03)	0.0(839)
30	-0.01	-0.03(-0.03)	0.03(526)
30	0.0	-0.03(-0.03)	0.04(70.4)
30	0.1	-0.01(-0.01)	0.11(22.9)
30	-0.03	-0.03(-0.03)	0.0(675)
40	-0.02	-0.04(-0.04)	0.02(491)
40	-0.0	-0.04(-0.04)	0.03(64.6)
40	0.16	-0.01(-0.01)	0.17(34.9)
40	-0.03	-0.04(-0.04)	0.0(707)
50	-0.04	-0.06(-0.06)	0.02(411)
50	-0.02	-0.06(-0.06)	0.04(73.4)
50	0.1	-0.02(-0.02)	0.11(22.6)
50	-0.05	-0.06(-0.06)	0.0(672)
60	-0.0	-0.02(-0.02)	0.02(351)
60	0.03	-0.01(-0.01)	0.04(76.0)
60	0.06	-0.0(-0.0)	0.06(12.9)
60	-0.01	-0.02(-0.02)	0.0(640)
70	-0.02	-0.03(-0.03)	0.01(289)
70	0.01	-0.03(-0.03)	0.04(75.0)
70	0.07	-0.01(-0.01)	0.08(16.5)
70	-0.03	-0.03(-0.03)	0.0(574)
80	-0.03	-0.05(-0.05)	0.01(270)
80	0.0	-0.04(-0.04)	0.04(77.3)
80	0.11	-0.01(-0.01)	0.12(23.6)
80	-0.04	-0.05(-0.05)	0.0(578)
90	-0.03	-0.04(-0.04)	0.01(228)
90	0.01	-0.02(-0.02)	0.03(63.4)
90	0.1	0.01(0.01)	0.09(18.0)
90	-0.03	-0.04(-0.04)	0.0(523)
100	-0.05	-0.06(-0.06)	0.01(200)
100	-0.01	-0.05(-0.05)	0.03(64.0)
100	0.15	-0.02(-0.02)	0.17(34.7)
100	-0.06	-0.06(-0.06)	0.0(493)
110	-0.05	-0.06(-0.06)	0.01(215)
110	-0.03	-0.07(-0.07)	0.04(73.0)
