Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470832'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.1, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470832'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470832'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 100.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470832'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.51	0.16(0.16)	0.36(712)
0	0.19	0.16(0.16)	0.04(712)
0	3.72	0.16(0.16)	3.56(712)
0	35.8	0.16(0.16)	35.6(712)
10	0.26	0.06(0.06)	0.2(398)
10	0.1	0.07(0.07)	0.03(692)
10	0.69	0.05(0.05)	0.64(128)
10	3.31	0.08(0.08)	3.23(64.6)
20	0.22	0.03(0.03)	0.19(389)
20	0.08	0.04(0.04)	0.04(730)
20	0.63	0.06(0.06)	0.57(113)
20	4.63	0.09(0.09)	4.54(90.7)
30	0.28	0.08(0.08)	0.2(396)
30	0.11	0.08(0.08)	0.03(655)
30	0.76	0.1(0.1)	0.66(133)
30	3.31	0.12(0.12)	3.19(63.7)
40	0.19	0.0(0.0)	0.19(375)
40	0.06	0.03(0.03)	0.03(647)
40	0.56	0.02(0.02)	0.54(107)
40	3.06	0.05(0.05)	3.01(60.3)
50	0.3	0.06(0.06)	0.24(484)
50	0.12	0.08(0.08)	0.04(833)
50	0.74	0.06(0.06)	0.68(135)
50	3.75	0.11(0.11)	3.64(72.9)
60	0.16	0.0(0.0)	0.16(313)
60	0.05	0.02(0.02)	0.03(596)
60	0.58	0.05(0.05)	0.53(107)
60	3.28	0.08(0.08)	3.2(63.9)
70	0.17	0.01(0.01)	0.16(320)
70	0.06	0.03(0.03)	0.03(557)
70	0.49	0.04(0.04)	0.44(88.8)
70	2.05	0.08(0.08)	1.97(39.4)
80	0.18	0.0(0.0)	0.17(346)
80	0.04	0.01(0.01)	0.03(560)
80	0.63	0.03(0.03)	0.6(120)
80	2.11	0.1(0.1)	2.02(40.3)
90	0.22	0.03(0.03)	0.19(374)
90	0.06	0.03(0.03)	0.03(644)
90	0.57	0.05(0.05)	0.52(104)
90	3.26	0.11(0.11)	3.14(62.9)
100	0.11	-0.03(-0.03)	0.13(266)
100	0.0	-0.02(-0.02)	0.02(488)
100	0.38	-0.0(-0.0)	0.38(76.3)
100	1.87	0.05(0.05)	1.82(36.3)
110	0.17	0.01(0.01)	0.16(312)
110	0.03	0.01(0.01)	0.03(543)
110	0.68	0.06(0.06)	0.62(124)
110	2.81	0.1(0.1)	2.71(54.1)
120	0.16	0.02(0.02)	0.14(285)
120	0.07	0.04(0.04)	0.03(576)
120	0.44	0.04(0.04)	0.4(79.9)
120	3.09	0.07(0.07)	3.02(60.4)
